name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[5-l_shipmode-eq-cuda-DictionaryEncoding-index],l_shipmode,cuda,,eq,False,5,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,29999795,4288377,8,239998360,,,0.0018081010784953833,0.00198703003115952,0.0018556895630307874,1.5381431538413118e-05,0.0018505763728171587,1.2313947081565857e-05,87;54,538.8832377581299,590,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.9-l_shipmode-eq-cpu-CDictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.9,CDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,5400556,5400556,8,43204448,,,0.001825893996283412,0.0019374671392142773,0.001859142254729336,1.6040022201673628e-05,0.0018585158977657557,2.3973523639142513e-05,177;3,537.8824549096086,531,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[5-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index],l_shipmode,cuda,,eq,False,5,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,29999795,4288377,8,239998360,,,0.0018272181041538715,0.0019559417851269245,0.0018504311955997333,1.293957039815953e-05,0.0018468541093170643,6.769783794879913e-06,95;92,540.4145814110615,621,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.6-l_shipmode-eq-cpu-DictionaryEncoding-index],l_shipmode,cpu,,eq,False,0.6,DictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,3601036,513676,8,28808288,,,0.0018295920453965664,0.0025929699186235666,0.0019162088414848085,6.715158492119966e-05,0.001890155952423811,7.375178392976522e-05,89;19,521.8637855908922,509,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[3-l_shipmode-eq-cuda-CPlainEncoding-mask],l_shipmode,cuda,,eq,True,3,CPlainEncoding,l_shipmode,FilterScan,Eq,TRUCK,17996609,17996609,7,125976263,,,0.001842255936935544,0.001891629071906209,0.001861386212658212,7.289264525665131e-06,0.0018598190508782864,6.852671504020691e-06,106;40,537.234021182481,547,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.8-l_shipmode-eq-cuda-CPlainEncoding-index],l_shipmode,cuda,,eq,False,0.8,CPlainEncoding,l_shipmode,FilterScan,Eq,TRUCK,4800841,685340,7,33605887,,,0.0018656000029295683,0.0020291300024837255,0.0018942454871127654,1.7589566949447378e-05,0.0018898050766438246,1.5636906027793884e-05,75;33,527.9146799099485,541,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.4-l_shipmode-eq-cpu-UnsortedCDictionaryEncoding-index],l_shipmode,cpu,,eq,False,0.4,UnsortedCDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,2399740,342485,8,19197920,,,0.0018770110327750444,0.003287077881395817,0.0020929510471843805,0.0001398977062872417,0.0021489670034497976,0.00022953335428610444,131;3,477.79426152622483,467,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[0.8-l_shipmode-eq-cpu-UnsortedDictionaryEncoding-mask],l_shipmode,cpu,,eq,True,0.8,UnsortedDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,4800841,4800841,8,38406728,,,0.0018829330801963806,0.006383212050423026,0.0022773095724513254,0.00033237867347594703,0.002371414448134601,0.00045767868869006634,86;2,439.1146518229347,498,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-CDictionaryEncoding-mask],l_shipmode,cuda,,eq,True,20,CDictionaryEncoding,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0018858881667256355,0.0030111330561339855,0.002869930841915005,0.00018350661486197644,0.002906420035287738,5.1299575716257095e-06,18;112,348.4404520816728,538,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[4-l_shipmode-eq-cuda-CPlainEncoding-mask],l_shipmode,cuda,,eq,True,4,CPlainEncoding,l_shipmode,FilterScan,Eq,TRUCK,23996604,23996604,7,167976228,,,0.0018879419658333063,0.007352421060204506,0.0025730591807316275,0.00026316291796869807,0.002561811008490622,6.3229817897081375e-06,9;33,388.64244067470634,470,1
