name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-lt-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,lt,True,0.15,CPlainEncoding,True,10000000,10000,0010,FilterScan,Lt,4j,10000000,10000000,20,200000000,,,0.00010511900109122507,0.00024212899916165043,0.0001086185219325638,3.310456721240013e-06,0.00010804500016092788,1.2420005077729002e-06,544;696,9206.532939389965,8639,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,lt,True,0.15,CPlainEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.00010538999958953355,0.00026035400151158683,0.00010882798746234074,4.396061948795167e-06,0.00010847599878616165,1.963999238796532e-06,338;469,9188.812761478695,8141,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e07-1e4-20-prefix-0.15-cuda-CPlainEncoding-mask-compile],cuda,,20,prefix,True,0.15,CPlainEncoding,True,10000000,10000,0011,FilterScan,Prefix,0kWTf,10000000,10000000,20,200000000,,,0.00011455700041551609,0.0003138449992547976,0.000117443806003214,4.996097288960781e-06,0.0001169320003100438,1.0020012268796563e-06,222;602,8514.710430728324,8211,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-eager],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,False,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00012889499885204714,0.00033065699972212315,0.00013238038171853238,5.626038128623404e-06,0.00013192000005801674,1.483998858020641e-06,249;490,7553.989397962331,7422,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-PlainEncoding-mask-eager],cuda,,20,prefix,True,0.15,PlainEncoding,False,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00014014599946676753,0.00017099400065490045,0.00014338812085927817,1.3392718693867984e-06,0.0001432209992344724,8.722499842406251e-07,563;323,6974.078424400338,6917,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,lt,True,0.15,PlainEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.00014785999883315526,0.0010392820004199166,0.00015027413968501786,1.3410748685485643e-05,0.00014944400027161464,7.819999154889956e-07,26;341,6654.50490747144,6486,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedDictionaryEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00015940200137265492,0.0003011520002473844,0.00016309683093415704,3.099562372165707e-06,0.00016224799946940038,2.5839981390163302e-06,438;280,6131.326980863931,5708,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-prefix-0.15-cuda-UnsortedCDictionaryEncoding-mask-compile],cuda,,20,prefix,True,0.15,UnsortedCDictionaryEncoding,True,1000000,10000,0008,FilterScan,Prefix,NGmE00,1000000,1000000,20,20000000,,,0.00016048499855969567,0.0015497410004172707,0.000165689896515259,2.0678681879014872e-05,0.00016420150041085435,3.206000656064134e-06,20;273,6035.371021599414,5576,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-eq-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,eq,True,0.15,UnsortedDictionaryEncoding,True,1000000,10000,0006,FilterScan,Eq,0,1000000,1000000,20,20000000,,,0.00016088600023067556,0.0003060409999307012,0.0001649383267382558,3.38743531787876e-06,0.00016407100156357046,1.963999693543883e-06,456;449,6062.872224882707,5653,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e06-1e4-20-lt-0.15-cuda-UnsortedDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,UnsortedDictionaryEncoding,True,1000000,10000,0007,FilterScan,Lt,4SFm6se,1000000,1000000,20,20000000,,,0.00016272900029434822,0.00019902700114471372,0.00016583386678971124,2.3356954269216164e-06,0.00016528400010429323,1.2830005289288238e-06,551;535,6030.131355907348,5661,1
