name,param:device,param:group,param:max_length,param:predicate,param:return_mask,param:selectivity,param:tensor_cls,param:torch_compile,param:total_count,param:unique_count,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-CDictionaryEncoding-index-compile],cuda,,20,prefix,False,0.15,CDictionaryEncoding,True,100000000,10000,0003,FilterScan,Prefix,wsdiZWJytFtzC,100000000,14999627,20,2000000000,,,0.0031619100482203066,0.0034396370174363256,0.0032237528084987695,3.4768359717155026e-05,0.003218738012947142,4.244798037689179e-05,71;5,310.1974808253608,301,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-PlainEncoding-mask-compile],cuda,,20,eq,True,0.15,PlainEncoding,True,100000000,10000,0001,FilterScan,Eq,7GSHj4YAs2bwH6qoYl,100000000,14998502,20,2000000000,,,0.003246029024012387,0.005501689971424639,0.0032648749018910094,0.00015230585596532413,0.003251770045608282,1.6647682059556246e-06,2;57,306.29044911362513,307,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-PlainEncoding-index-compile],cuda,,20,prefix,False,0.15,PlainEncoding,True,100000000,10000,0003,FilterScan,Prefix,wsdiZWJytFtzC,100000000,14999627,20,2000000000,,,0.0035206510219722986,0.0036362489918246865,0.0035448412708971146,1.9835571015530475e-05,0.0035389105032663792,2.3364031221717596e-05,61;13,282.10007827710825,282,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-UnsortedCDictionaryEncoding-index-eager],cuda,,20,lt,False,0.15,UnsortedCDictionaryEncoding,False,100000000,10000,0002,FilterScan,Lt,4iLDD6OPYHuelzuMFAG,100000000,14999627,20,2000000000,,,0.003530810005031526,0.007699009031057358,0.0036041665352448556,0.0002482468281146176,0.003582737495889887,1.9602011889219284e-05,2;25,277.4566575159833,280,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-CDictionaryEncoding-index-eager],cuda,,20,eq,False,0.15,CDictionaryEncoding,False,100000000,10000,0001,FilterScan,Eq,7GSHj4YAs2bwH6qoYl,100000000,14998502,20,2000000000,,,0.0037953919963911176,0.007783067005220801,0.0038609422698847196,0.00024354032338557,0.0038382530328817666,4.882700159214437e-05,1;5,259.00413165977176,267,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-CDictionaryEncoding-index-compile],cuda,,20,eq,False,0.15,CDictionaryEncoding,True,100000000,10000,0001,FilterScan,Eq,7GSHj4YAs2bwH6qoYl,100000000,14998502,20,2000000000,,,0.0038434230373241007,0.007376637018751353,0.00391839146345424,0.0002910617448590977,0.0038854580488987267,3.2727490179240704e-05,2;14,255.20676260315622,260,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-CDictionaryEncoding-mask-eager],cuda,,20,lt,True,0.15,CDictionaryEncoding,False,100000000,10000,0002,FilterScan,Lt,4iLDD6OPYHuelzuMFAG,100000000,14999627,20,2000000000,,,0.004025848989840597,0.008023113012313843,0.004113039314111192,0.00025695401006670023,0.004088747518835589,1.453349250368774e-05,5;44,243.12921020938384,252,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-prefix-0.15-cuda-CDictionaryEncoding-index-eager],cuda,,20,prefix,False,0.15,CDictionaryEncoding,False,100000000,10000,0003,FilterScan,Prefix,wsdiZWJytFtzC,100000000,14999627,20,2000000000,,,0.00403907400323078,0.004433912981767207,0.004085851244368482,4.2156620759892587e-05,0.004076403973158449,2.6888708816841245e-05,18;13,244.74704050430063,249,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-CDictionaryEncoding-mask-compile],cuda,,20,lt,True,0.15,CDictionaryEncoding,True,100000000,10000,0002,FilterScan,Lt,4iLDD6OPYHuelzuMFAG,100000000,14999627,20,2000000000,,,0.004118243989069015,0.008183406956959516,0.00418381449255389,0.0002601600595339323,0.004164010984823108,1.65472156368196e-05,1;27,239.016333486999,241,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-eq-0.15-cuda-PlainEncoding-index-compile],cuda,,20,eq,False,0.15,PlainEncoding,True,100000000,10000,0001,FilterScan,Eq,7GSHj4YAs2bwH6qoYl,100000000,14998502,20,2000000000,,,0.004373147967271507,0.007830947986803949,0.0044258330797723,0.00022885014347080553,0.004406401014421135,3.555702278390527e-05,1;5,225.94616244574857,226,1
bench_test.py::TestStringColumnTensor::test_mssb_string_processing[1e08-1e4-20-lt-0.15-cuda-CDictionaryEncoding-index-eager],cuda,,20,lt,False,0.15,CDictionaryEncoding,False,100000000,10000,0002,FilterScan,Lt,4iLDD6OPYHuelzuMFAG,100000000,14999627,20,2000000000,,,0.005148608994204551,0.00918507797177881,0.0052502894635229795,0.0003080461224335877,0.005224016465945169,3.863900201395154e-05,2;7,190.4656889772689,192,1
